City_ID,city,country,max_temp,lat,lng,Hotel Name
343,Road Town,VG,78.01,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
349,Cayenne,GF,77.0,4.9333,-52.3333,Hôtel Le Dronmi
353,Sokoni,TZ,80.78,-6.4333,39.55,Ujamaa Beach Resort
354,Beaufort,MY,78.8,5.3473,115.7455,The Gem Hotel Beaufort
359,Saint-Joseph,RE,78.8,-21.3667,55.6167,"""Plantation Bed and Breakfast"
362,Agutaya,PH,78.96,11.148,120.9417,
364,Sosua,DO,75.2,19.7667,-70.5167,Piergiorgio Palace Hotel
377,Kaeo,NZ,75.99,-35.1,173.7833,Bushido Lodge
378,Acarau,BR,77.86,-2.8856,-40.12,castelo pizzaria
381,Dogondoutchi,NE,75.24,13.6393,4.0287,Hôtel Alheri Maison Alheri
382,Tete,MZ,77.0,-16.1564,33.5867,Zambeze Paraíso Misterioso
392,Chichi,NG,79.11,7.2721,8.9332,
400,Bonito,BR,80.8,-21.1211,-56.4819,Marruá Hotel
401,Pailon,BO,77.0,-17.65,-62.75,Alojamiento pailon
402,Merauke,ID,85.06,-8.4667,140.3333,
403,Tucurui,BR,75.18,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
405,Bodden Town,KY,79.0,19.2833,-81.25,Will T Place
406,Morant Bay,JM,82.4,17.8815,-76.4093,Whispering Bamboo Cove Resort
407,Esmeraldas,BR,78.8,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
409,Moerai,PF,80.71,-22.4333,-151.3333,Le Manotel
411,Nicoya,CR,82.4,10.1483,-85.45200000000001,Guayacan Real
419,Monrovia,LR,75.2,6.3005,-10.7969,Sunset Inn
424,Tiarei,PF,84.2,-17.5333,-149.3333,Le Rocher de Tahiti
428,Sola,VU,84.2,-13.8833,167.55,Leumerus Bungalows
430,Conselheiro Pena,BR,75.56,-19.1722,-41.4722,Hotel Bela Adormecida
432,Namatanai,PG,85.26,-3.6667,152.4333,Namatanai Hotel
433,Cotonou,BJ,80.6,6.3654,2.4183,Novotel Cotonou Orisha
438,Bathsheba,BB,77.0,13.2167,-59.5167,Atlantis Hotel
439,Sibolga,ID,75.0,1.7427,98.7792,Hotel Syariah CN Darussalam
442,Braganca,BR,75.04,-1.0536,-46.7656,Marujo's Suíte Hotel
445,Atambua,ID,81.21,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
447,Nabire,ID,82.4,-3.3667,135.4833,Hotel Nusantara Nabire
448,Buala,SB,82.6,-8.145,159.5921,Maringe Lagoon Lodge
449,Nelson Bay,AU,80.01,-32.7167,152.15,Mantra Nelson Bay
450,Ko Samui,TH,80.26,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
460,Itacoatiara,BR,76.51,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
465,Puro,PH,76.78,12.4841,123.3827,
467,Manubul,PH,82.78,5.4732,120.7986,
470,Kununurra,AU,86.0,-15.7667,128.7333,Hotel Kununurra
472,Mayumba,GA,78.21,-3.432,10.6554,LIKWALE LODGE
473,Grand Gaube,MU,79.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
478,Tevaitoa,PF,81.34,-16.7833,-151.5,Hôtel Raiatea Lodge
488,Wawa,NG,77.5,9.9022,4.4192,
509,Tucuma,BR,76.53,-0.1833,-50.05,
512,Mareeba,AU,87.8,-17.0,145.4333,Trinity Plains Tourist Park
516,Lahaina,US,82.4,20.8783,-156.6825,Lahaina Shores Beach Resort
518,Yeppoon,AU,84.2,-23.1333,150.7333,Villa Mar Colina
520,Charters Towers,AU,79.47,-20.1,146.2667,Cattleman's Rest Motor Inn
521,Guisa,CU,77.0,20.255,-76.5386,
524,Pangkalanbuun,ID,77.43,-2.6833,111.6167,Grand Kecubung Hotel
