City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sun Valley,US,2021-01-11 01:40:02,39.5963,-119.776,39.0,60,1,6.91
68,Lalmohan,BD,2021-01-11 01:40:03,22.3384,90.7419,72.93,66,64,4.56
69,Naryan-Mar,RU,2021-01-11 01:40:03,67.6713,53.087,-9.36,90,9,4.34
70,Badia Polesine,IT,2021-01-11 01:40:03,45.0972,11.4916,33.01,85,0,1.99
71,Wajir,KE,2021-01-11 01:40:03,1.7471,40.0573,73.87,71,0,12.17
72,Georgetown,MY,2021-01-11 01:37:07,5.4112,100.3354,81.0,69,20,2.3
73,Saiha,IN,2021-01-11 01:40:04,22.4833,92.9667,65.93,60,87,2.3
74,Mahibadhoo,MV,2021-01-11 01:40:04,3.7833,72.9667,81.09,70,71,10.29
75,Snezhnogorsk,RU,2021-01-11 01:40:05,69.1933,33.2531,-9.4,84,0,12.3
76,Karratha,AU,2021-01-11 01:40:05,-20.7377,116.8463,97.92,38,32,7.54
77,Longyearbyen,SJ,2021-01-11 01:35:24,78.2186,15.6401,28.4,74,75,12.66
78,Dunedin,NZ,2021-01-11 01:40:06,-45.8742,170.5036,60.78,55,51,8.55
79,Lugovoy,KZ,2021-01-11 01:40:06,42.9472,72.7644,27.16,69,0,3.74
80,Dukat,RU,2021-01-11 01:40:06,62.55,155.55,-25.74,83,64,4.29
81,Kavieng,PG,2021-01-11 01:40:06,-2.5744,150.7967,84.11,70,100,3.6
82,Steamboat Springs,US,2021-01-11 01:39:22,40.485,-106.8317,12.2,79,1,1.36
83,Nizhniy Odes,RU,2021-01-11 01:40:07,63.6445,54.856,-9.72,87,0,4.81
84,Mount Isa,AU,2021-01-11 01:40:07,-20.7333,139.5,91.4,40,0,6.91
85,Spassk-Ryazanskiy,RU,2021-01-11 01:40:07,54.4072,40.3806,5.94,95,83,6.71
86,Port Elizabeth,ZA,2021-01-11 01:40:07,-33.918,25.5701,68.0,77,75,6.91
87,Pontianak,ID,2021-01-11 01:40:08,-0.0333,109.3333,78.8,94,75,5.86
88,Porto Da Folha,BR,2021-01-11 01:40:08,-9.9172,-37.2783,77.0,72,69,7.96
89,Vaini,TO,2021-01-11 01:40:08,-21.2,-175.2,84.2,79,75,10.36
90,Lithgow,AU,2021-01-11 01:40:08,-33.4833,150.15,75.0,82,0,5.03
91,Khatanga,RU,2021-01-11 01:40:09,71.9667,102.5,-6.7,91,100,15.26
92,Port-Cartier,CA,2021-01-11 01:40:09,50.0334,-66.8654,17.6,67,67,5.75
93,Asau,RO,2021-01-11 01:40:09,46.4333,26.4,30.2,100,90,9.22
94,Komsomolskiy,UZ,2021-01-11 01:40:09,40.4272,71.7189,17.6,67,0,6.91
95,Yantal,RU,2021-01-11 01:40:10,56.8471,105.2542,-3.64,90,100,1.43
96,Carnarvon,AU,2021-01-11 01:40:10,-24.8667,113.6333,82.4,57,0,20.71
97,Hailar,CN,2021-01-11 01:40:10,49.2,119.7,-4.22,90,55,9.53
98,Norman Wells,CA,2021-01-11 01:40:10,65.282,-126.8329,6.8,85,40,6.91
99,Wahiawa,US,2021-01-11 01:40:11,21.5028,-158.0236,84.2,61,40,10.36
100,Saldanha,ZA,2021-01-11 01:40:11,-33.0117,17.9442,57.2,82,0,6.91
101,Souillac,MU,2021-01-11 01:40:11,-20.5167,57.5167,78.8,94,75,4.61
102,Moindou,NC,2021-01-11 01:40:12,-21.6924,165.677,87.8,70,100,11.5
103,Kununurra,AU,2021-01-11 01:40:12,-15.7667,128.7333,93.2,70,15,5.75
104,Oyem,GA,2021-01-11 01:40:12,1.5995,11.5793,69.62,92,64,4.38
105,Arraial Do Cabo,BR,2021-01-11 01:40:12,-22.9661,-42.0278,76.69,90,0,16.06
106,Luwuk,ID,2021-01-11 01:40:12,-0.9516,122.7875,86.59,62,56,2.98
107,Aldan,RU,2021-01-11 01:40:13,58.6031,125.3894,-26.03,85,100,2.13
108,Bengkulu,ID,2021-01-11 01:40:13,-3.8004,102.2655,82.6,69,100,3.04
109,Nome,US,2021-01-11 01:38:19,64.5011,-165.4064,15.8,67,1,10.36
110,Padang,ID,2021-01-11 01:40:13,-0.9492,100.3543,83.55,62,71,2.77
111,Compostela,PH,2021-01-11 01:40:14,7.6731,126.0889,75.51,89,100,4.45
112,Ambanja,MG,2021-01-11 01:40:14,-13.6833,48.45,74.93,89,98,3.47
113,Kalmunai,LK,2021-01-11 01:40:14,7.4167,81.8167,75.72,93,100,8.14
114,Kamenka,RU,2021-01-11 01:40:14,51.3223,42.7678,12.13,97,76,8.32
115,Kerema,PG,2021-01-11 01:40:14,-7.9631,145.7785,85.78,68,88,10.02
116,Muisne,EC,2021-01-11 01:40:14,0.6,-80.0333,75.92,87,99,7.61
117,Ken Caryl,US,2021-01-11 01:40:15,39.5773,-105.1169,28.99,82,0,3.22
118,Coihaique,CL,2021-01-11 01:40:15,-45.5752,-72.0662,36.63,84,40,5.86
119,Broken Hill,AU,2021-01-11 01:40:15,-31.95,141.4333,91.4,21,3,11.5
120,Oussouye,SN,2021-01-11 01:40:15,12.485,-16.5469,71.6,56,0,6.91
121,Saskylakh,RU,2021-01-11 01:40:16,71.9167,114.0833,-8.12,87,100,16.17
